source_code,target_code,target_display
"HHB;BL","718-7","Hemoglobin [Mass/volume] in Blood"
"HHB;O","718-7","Hemoglobin [Mass/volume] in Blood"
"NHEM;L","718-7","Hemoglobin [Mass/volume] in Blood"
"TROPI;BL","10839-9","Troponin I.cardiac [Mass/volume] in Serum or Plasma"
"ETRO;BL","6598-7","Troponin T.cardiac [Mass/volume] in Serum or Plasma"
"K_TRGL_DR","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"K_TRGL_AS","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"K_TRGL_HP","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"K_TRGL_OV","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"UTRI;U","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"ITRI;F","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"RTRI;BL","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"RTRI;O","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"RTRI;BL","14927-8","Triglyceride [Moles/volume] in Serum or Plasma"
"K_CHOL_HP","14647-2","Cholesterol [Moles/volume] in Serum or Plasma"
"K_CHOL_OV","14647-2","Cholesterol [Moles/volume] in Serum or Plasma"
"CNAT;BL","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"UNAT;U","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"RNAT;BL","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_HP","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_UR","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_UV","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"FNAT;F","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_FA","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_FV","2951-2","Sodium [Moles/volume] in Serum or Plasma"
"K_NA_OV","2951-2","Sodium [Moles/volume] in Serum or Plasma"
