source_code,target_code,target_display
333208,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109I,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109D,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333234C,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333234I,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105H,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333104B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333102A,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105D,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184C,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333100C,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333100G,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109W,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184G,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333103,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333103A,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333103B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184H,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333090L,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333100,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184A,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333104A,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333104,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333108,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333107G,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109K,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333297D,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105A,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333108G,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109U,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333109V,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333088,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333099B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105E,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105F,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333091R,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333091L,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333102,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333105C,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333184J,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333297B,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333107D,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
333108K,02YA0Z0,"Transplantation of Heart, Allogeneic, Open Approach"
