source_code,source_unit,target_code,target_unit,conversion_function,target_display
"29463-7","kg","29463-7","kg","$this","Body weight"
"59408-5","","59408-5","%","$this","Oxygen saturation in Arterial blood by Pulse oximetry"
"76534-7","mmHg","8480-6","mm[Hg]","$this","Systolic blood pressure"
"76535-4","mmHg","8462-4","mm[Hg]","$this","Diastolic blood pressure"
"8302-2","cm","8302-2","cm","$this","Body height"
"89270-3","","39156-5","kg/m2","$this","Body mass index (BMI) [Ratio]"
"8867-4","bpm","8867-4","bpm","$this","Heart rate"
"76213-8","mmHg","76213-8","mm[Hg]","$this","Invasive Diastolic blood pressure"
"76215-3","mmHg","76215-3","mm[Hg]","$this","Invasive Systolic blood pressure"
"8478-0","mmHg","8478-0","mm[Hg]","$this","Mean blood pressure"
"60984-2","mmHg","60984-2","mm[Hg]","$this","Aorta Systolic blood pressure"
"60982-6","mmHg","60982-6","mm[Hg]","$this","Aorta Diastolic blood pressure"
"76536-2","mmHg","76536-2","mm[Hg]","$this","Mean blood pressure by Noninvasive"
"76214-6","mmHg","76214-6","mm[Hg]","$this","Invasive Mean blood pressure"
"8310-5","Cel","8310-5","Cel","$this","Body temperature"
