"source_code","target_code","target_display","code_system","unit"
"FunzioneDiastolica_RapportoEA","59129-7","Left ventricular E-wave/A-wave by US","http://loinc.org",
"FunzioneDiastolica_RapportoEE","78190-6","Mitral valve lateral annulus E-wave/Tissue velocity.E-wave.max by US.doppler+tissue doppler","http://loinc.org",
"FunzioneDiastolica_VelocitPiccoOndaA","79915-5","Pulmonary vein Maximum A-wave velocity by Ultrasound.doppler.PW","http://loinc.org",cm/s
"FunzioneDiastolica_VelocitPiccoOndaE","79911-4","Mitral valve medial annulus Tissue velocity.E-wave.max by US.tissue doppler.A4C","http://loinc.org",cm/s
"Valvolatricuspide_TAPSE","77903-3","Tricuspid valve annulus Excursion distance during systole by US.M-mode","http://loinc.org",cm
"Ventricolosinistro_DiametroDiastolicoIndic","LVEDDi","Indexed left-ventricle end-diastolic diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"Ventricolosinistro_DiametroSistolicoIndic","LVESDi","Indexed left-ventricle end-systolic diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"Ventricolosinistro_DiametroTeleDiastolico","18083-6","Left ventricular Internal diameter minor axis diastole by US 2D","http://loinc.org",mm
"Ventricolosinistro_DiametroTeleSistolico","18085-1","Left ventricular Internal diameter minor axis systole by US 2D","http://loinc.org",mm
"Ventricolosinistro_FrazionediEiezione","8806-2","Left ventricular Ejection fraction by 2D echo","http://loinc.org",%
"Ventricolosinistro_ParetePosterioreSpessoreTD","80032-6","Left ventricular posterior wall Thickness at end diastole by US 2D","http://loinc.org",mm
"Ventricolosinistro_ParetePosterioreSpessoreTDIndic","LVPWdi","Indexed left ventricular posterior wall thickness at end diastole","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"Ventricolosinistro_SettoInterventricolareSpessoreTD","79969-2","Interventricular septum Thickness at end diastole by US 2D","http://loinc.org",mm
"Ventricolosinistro_SettointerventricolarespessoreTDIndicM","IVSdi","Indexed intraventricular septal thickness end diastole","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"Ventricolosinistro_StrokeVolumeIndex","134401001","Left ventricular cardiac dysfunction","http://snomed.info/sct",
"Ventricolosinistro_VolumeTeleDiastolico","75988-6","Left ventricular End diastolic volume","http://loinc.org",mL
"Ventricolosinistro_VolumeTeleDiastolicoInd","79997-3","End-diastolic volume/Body surface area","http://loinc.org",mL/m2
"Ventricolosinistro_VolumeTeleSistolico","75989-4","Left ventricular End systolic volume","http://loinc.org",mL
"Ventricolosinistro_VolumeTeleSistolicoInd","80002-9","End-systolic volume/Body surface area","http://loinc.org",mL/m2
"Ventricolosinistro_ParetePosterioreSpessoreTS","80034-2","Left ventricular posterior wall Thickness at end systole by US 2D","http://loinc.org",mm
"Ventricolosinistro_ParetePosterioreSpessoreTSIndic","LVPWsi","Indexed left ventricular posterior wall thickness at end systole","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"Ventricolodestro_Accorciamentofrazionale","FAC","Fractional area change","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",%
"Ventricolosinistro_DiametroInternoTD","18083-6","Left ventricular Internal diameter minor axis diastole by US 2D","http://loinc.org",mm
"FunzioneDiastolica_VelocitPiccoOndaELATTDI","eLateral","Early diastolic mitral annulus velocity at the lateral side","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",cm/s
"FunzioneDiastolica_VelocitPiccoOndaESETTTDI","eSeptal","Early diastolic mitral annulus velocity at the septal side","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",cm/s
"Ventricolosinistro_HeartRate","HRecho","Heart rate at echocardiography","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",bpm
"Ventricolosinistro_SettoInterventricolareSpessoreTS","79971-8","Interventricular septum thickness at end systole by US 2D","http://loinc.org",mm
"VenaCava_DiametroMax","IVCdmax","Inferior vena cava maximum diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm
"VenaCava_DiametroMin","IVCdmin","Inferior vena cava minimum diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm
"Ventricolodestro_DiametroTeleDiastolico","RVEDD","Right-ventricle end-diastolic diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm
"Ventricolodestro_DiametroTeleDiastolicoIndic","RVEDDi","Indexed right-ventricle end-diastolic diameter","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
"VentricolosinistroSettointerventricolarespessoresistolicoIndicM","IVSsi","Indexed intraventricular septal thickness end systole","https://datatools4heart.eu/fhir/CodeSystem/echocardiogram-codes",mm/m2
