source_code,target_system,target_code
0010,http://hl7.org/fhir/sid/icd-10,A00.0
0011,http://hl7.org/fhir/sid/icd-10,A00.1
0019,http://hl7.org/fhir/sid/icd-10,A00.9
0020,http://hl7.org/fhir/sid/icd-10,A01.00
0021,http://hl7.org/fhir/sid/icd-10,A01.1
0022,http://hl7.org/fhir/sid/icd-10,A01.2
0023,http://hl7.org/fhir/sid/icd-10,A01.3
0029,http://hl7.org/fhir/sid/icd-10,A01.4
0030,http://hl7.org/fhir/sid/icd-10,A02.0
0031,http://hl7.org/fhir/sid/icd-10,A02.1
00320,http://hl7.org/fhir/sid/icd-10,A02.20
00321,http://hl7.org/fhir/sid/icd-10,A02.21
00322,http://hl7.org/fhir/sid/icd-10,A02.22
00323,http://hl7.org/fhir/sid/icd-10,A02.23
00324,http://hl7.org/fhir/sid/icd-10,A02.24
00329,http://hl7.org/fhir/sid/icd-10,A02.29
0038,http://hl7.org/fhir/sid/icd-10,A02.8
0039,http://hl7.org/fhir/sid/icd-10,A02.9
0040,http://hl7.org/fhir/sid/icd-10,A03.0
0041,http://hl7.org/fhir/sid/icd-10,A03.1
0042,http://hl7.org/fhir/sid/icd-10,A03.2
0043,http://hl7.org/fhir/sid/icd-10,A03.3
0048,http://hl7.org/fhir/sid/icd-10,A03.8
0049,http://hl7.org/fhir/sid/icd-10,A03.9
0050,http://hl7.org/fhir/sid/icd-10,A05.0
0051,http://hl7.org/fhir/sid/icd-10,A05.1
0052,http://hl7.org/fhir/sid/icd-10,A05.2
0053,http://hl7.org/fhir/sid/icd-10,A05.8
0054,http://hl7.org/fhir/sid/icd-10,A05.3
00581,http://hl7.org/fhir/sid/icd-10,A05.5
00589,http://hl7.org/fhir/sid/icd-10,A05.4
00589,http://hl7.org/fhir/sid/icd-10,A05.8
0059,http://hl7.org/fhir/sid/icd-10,A05.9
0060,http://hl7.org/fhir/sid/icd-10,A06.0
0061,http://hl7.org/fhir/sid/icd-10,A06.1
0062,http://hl7.org/fhir/sid/icd-10,A06.2
0063,http://hl7.org/fhir/sid/icd-10,A06.4
0064,http://hl7.org/fhir/sid/icd-10,A06.5
0065,http://hl7.org/fhir/sid/icd-10,A06.6
0066,http://hl7.org/fhir/sid/icd-10,A06.7
0068,http://hl7.org/fhir/sid/icd-10,A06.89
0069,http://hl7.org/fhir/sid/icd-10,A06.9
0070,http://hl7.org/fhir/sid/icd-10,A07.0
0071,http://hl7.org/fhir/sid/icd-10,A07.1
0072,http://hl7.org/fhir/sid/icd-10,A07.3
0073,http://hl7.org/fhir/sid/icd-10,A07.8
0074,http://hl7.org/fhir/sid/icd-10,A07.2
0075,http://hl7.org/fhir/sid/icd-10,A07.4
0078,http://hl7.org/fhir/sid/icd-10,A07.8
0079,http://hl7.org/fhir/sid/icd-10,A07.9
00800,http://hl7.org/fhir/sid/icd-10,A04.4
00801,http://hl7.org/fhir/sid/icd-10,A04.0
00802,http://hl7.org/fhir/sid/icd-10,A04.1
00803,http://hl7.org/fhir/sid/icd-10,A04.2
00804,http://hl7.org/fhir/sid/icd-10,A04.3
00809,http://hl7.org/fhir/sid/icd-10,A04.4
0081,http://hl7.org/fhir/sid/icd-10,A04.8
0082,http://hl7.org/fhir/sid/icd-10,A04.8
0083,http://hl7.org/fhir/sid/icd-10,A04.8
00841,http://hl7.org/fhir/sid/icd-10,A04.8
00842,http://hl7.org/fhir/sid/icd-10,A04.8
00843,http://hl7.org/fhir/sid/icd-10,A04.5
00844,http://hl7.org/fhir/sid/icd-10,A04.6
00845,http://hl7.org/fhir/sid/icd-10,A04.7
00846,http://hl7.org/fhir/sid/icd-10,A04.8
00847,http://hl7.org/fhir/sid/icd-10,A04.8
00849,http://hl7.org/fhir/sid/icd-10,A04.8
0085,http://hl7.org/fhir/sid/icd-10,A04.9
00861,http://hl7.org/fhir/sid/icd-10,A08.0
