source_code,target_system,target_code
001.0,http://hl7.org/fhir/sid/icd-10,A00.0
001.1,http://hl7.org/fhir/sid/icd-10,A00.1
001.9,http://hl7.org/fhir/sid/icd-10,A00.9
002.0,http://hl7.org/fhir/sid/icd-10,A01.00
002.1,http://hl7.org/fhir/sid/icd-10,A01.1
002.2,http://hl7.org/fhir/sid/icd-10,A01.2
002.3,http://hl7.org/fhir/sid/icd-10,A01.3
002.9,http://hl7.org/fhir/sid/icd-10,A01.4
003.0,http://hl7.org/fhir/sid/icd-10,A02.0
003.1,http://hl7.org/fhir/sid/icd-10,A02.1
003.20,http://hl7.org/fhir/sid/icd-10,A02.20
003.21,http://hl7.org/fhir/sid/icd-10,A02.21
003.22,http://hl7.org/fhir/sid/icd-10,A02.22
003.23,http://hl7.org/fhir/sid/icd-10,A02.23
003.24,http://hl7.org/fhir/sid/icd-10,A02.24
003.29,http://hl7.org/fhir/sid/icd-10,A02.29
003.8,http://hl7.org/fhir/sid/icd-10,A02.8
003.9,http://hl7.org/fhir/sid/icd-10,A02.9
004.0,http://hl7.org/fhir/sid/icd-10,A03.0
004.1,http://hl7.org/fhir/sid/icd-10,A03.1
004.2,http://hl7.org/fhir/sid/icd-10,A03.2
004.3,http://hl7.org/fhir/sid/icd-10,A03.3
004.8,http://hl7.org/fhir/sid/icd-10,A03.8
004.9,http://hl7.org/fhir/sid/icd-10,A03.9
005.0,http://hl7.org/fhir/sid/icd-10,A05.0
005.1,http://hl7.org/fhir/sid/icd-10,A05.1
005.2,http://hl7.org/fhir/sid/icd-10,A05.2
005.3,http://hl7.org/fhir/sid/icd-10,A05.8
005.4,http://hl7.org/fhir/sid/icd-10,A05.3
005.81,http://hl7.org/fhir/sid/icd-10,A05.5
005.89,http://hl7.org/fhir/sid/icd-10,A05.4
005.89,http://hl7.org/fhir/sid/icd-10,A05.8
005.9,http://hl7.org/fhir/sid/icd-10,A05.9
006.0,http://hl7.org/fhir/sid/icd-10,A06.0
006.1,http://hl7.org/fhir/sid/icd-10,A06.1
006.2,http://hl7.org/fhir/sid/icd-10,A06.2
006.3,http://hl7.org/fhir/sid/icd-10,A06.4
006.4,http://hl7.org/fhir/sid/icd-10,A06.5
006.5,http://hl7.org/fhir/sid/icd-10,A06.6
006.6,http://hl7.org/fhir/sid/icd-10,A06.7
006.8,http://hl7.org/fhir/sid/icd-10,A06.89
006.9,http://hl7.org/fhir/sid/icd-10,A06.9
007.0,http://hl7.org/fhir/sid/icd-10,A07.0
007.1,http://hl7.org/fhir/sid/icd-10,A07.1
007.2,http://hl7.org/fhir/sid/icd-10,A07.3
007.3,http://hl7.org/fhir/sid/icd-10,A07.8
007.4,http://hl7.org/fhir/sid/icd-10,A07.2
007.5,http://hl7.org/fhir/sid/icd-10,A07.4
007.8,http://hl7.org/fhir/sid/icd-10,A07.8
007.9,http://hl7.org/fhir/sid/icd-10,A07.9
008.00,http://hl7.org/fhir/sid/icd-10,A04.4
008.01,http://hl7.org/fhir/sid/icd-10,A04.0
008.02,http://hl7.org/fhir/sid/icd-10,A04.1
008.03,http://hl7.org/fhir/sid/icd-10,A04.2
008.04,http://hl7.org/fhir/sid/icd-10,A04.3
008.09,http://hl7.org/fhir/sid/icd-10,A04.4
008.1,http://hl7.org/fhir/sid/icd-10,A04.8
008.2,http://hl7.org/fhir/sid/icd-10,A04.8
008.3,http://hl7.org/fhir/sid/icd-10,A04.8
008.41,http://hl7.org/fhir/sid/icd-10,A04.8
008.42,http://hl7.org/fhir/sid/icd-10,A04.8
008.43,http://hl7.org/fhir/sid/icd-10,A04.5
008.44,http://hl7.org/fhir/sid/icd-10,A04.6
008.45,http://hl7.org/fhir/sid/icd-10,A04.7
008.46,http://hl7.org/fhir/sid/icd-10,A04.8
008.47,http://hl7.org/fhir/sid/icd-10,A04.8
008.49,http://hl7.org/fhir/sid/icd-10,A04.8
