"observation_concept_id","source_unit","target_unit","conversion_function"
"718-7","@","g/dL","$this"
"2276-4","@","mcg/L","$this"
"2502-3","@","%","$this"
"33762-6","@","pg/mL","$this"
"30934-4","@","pg/mL","$this"
"1988-5","@","mg/L","$this"
"30522-7","@","mg/L","$this"
"89579-7","@","ng/mL","$this"
"10839-9","@","ng/mL","$this"
"67151-1","@","ng/mL","$this"
"6598-7","@","ng/mL","$this"
"14927-8","@","mmol/L","$this"
"14647-2","@","mmol/L","$this"
"14646-4","@","mmol/L","$this"
"22748-8","@","mmol/L","$this"
"2823-3","@","mmol/L","$this"
"2951-2","@","mmol/L","$this"
"2160-0","@","mg/L","$this"
"2161-8","@","mg/L","$this"
"1751-7","@","mcg/L","$this"
"1754-1","@","mcg/L","$this"
"69405-9","@","ml/min/1.73m2","$this"
"14937-7","@","mmol/L","$this"
"32294-1","@","mg/L","$this"
"4548-4","@","%","$this"
"41995-2","@","g/dL","$this"
"30385-9","@","%","$this"
"6299-2","@","mmol/L","$this"
"10378-8","@","g/dL","$this"
