"source_code","target_code","target_system","target_display"
"FQA00","02YA0Z0","ICD10-PCS","Transplantation of Heart, Allogeneic, Open Approach"
"FQA40","02YA0Z1","ICD10-PCS","Transplantation of Heart, Syngeneic, Open Approach"
"FQA96","02YA0Z2","ICD10-PCS","Transplantation of Heart, Zooplastic, Open Approach"
"FXN00","02RK0JZ","ICD10-PCS","Replacement of Right Ventricle with Synthetic Substitute, Open Approach"
"FXN00","02RL0JZ","ICD10-PCS","Replacement of Left Ventricle with Synthetic Substitute, Open Approach"
"FXL60","02HA4QZ","ICD10-PCS","Insertion of Implantable Heart Assist System into Heart, Percutaneous Endoscopic Approach"
"FXL60","02HA3QZ","ICD10-PCS","Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach"
"FXL60","02HA0QZ","ICD10-PCS","Insertion of Implantable Heart Assist System into Heart, Open Approach"
"FPE26","0JH607","ICD10-PCS","Insertion of Cardiac Resynchronization Pacemaker Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach"
"FPG30","0JH608","ICD10-PCS","Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach"
"FPG33","0JH608","ICD10-PCS","Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach"
"FPG36","0JH609","ICD10-PCS","Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Open Approach"
"FPG30","0JH638","ICD10-PCS","Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
"FPG33","0JH638","ICD10-PCS","Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
"FPG36","0JH639","ICD10-PCS","Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
"FPG30","0JH808","ICD10-PCS","Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach"
"FPG33","0JH808","ICD10-PCS","Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach"
