source_code,source_unit,target_code,target_unit,target_display,conversion_function,row_count_in_source
586526,0,94759-8,,SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with probe detection,$this,5067
1001862,8587,93635-1,mL,Right atrial End-systolic volume by US.2D.A4C,$this,125
1001973,8582,93643-5,cm,Right ventricular Major axis diastole [Length] by US.2D.A4C,$this,1091
1002325,0,93633-6,ratio,Heart Left ventricular outflow tract/Maximum blood flow aortic valve by US.doppler,$this,1147
1988202,0,99597-7,,SARS-CoV-2 (COVID-19) S protein IgG Ab [Presence] in Serum or Plasma by Immunoassay,$this,67
3000034,8751,14957-5,,Microalbumin [Mass/volume] in Urine,$this,77
3000081,8751,14656-3,,cloZAPine [Moles/volume] in Serum or Plasma,$this,7
3000208,8749,14590-4,,Alpha tocopherol [Moles/volume] in Serum or Plasma,$this,3
3000213,8907,15083-9,,Normetanephrine [Moles/time] in 24 hour Urine,$this,5
3000285,0,2947-0,mmol/L,Sodium [Moles/volume] in Blood,$this,2
3000285,8753,2947-0,mmol/L,Sodium [Moles/volume] in Blood,$this,15107
3000330,0,5811-5,,Specific gravity of Urine by Test strip,$this,543
3000351,8617,8277-6,m2,Body surface area Measured,$this,1084
3000483,8753,2339-0,,Glucose [Mass/volume] in Blood,$this,1
3000483,8840,2339-0,,Glucose [Mass/volume] in Blood,$this,11
3000526,8582,18085-1,,Left ventricular Internal diameter minor axis systole by US 2D,$this,1263
3000570,8720,25907-7,,Elastase.pancreatic [Mass/mass] in Stool,$this,11
3000572,8582,18016-6,,Aortic valve annulus Diameter by US,$this,19
3000620,8636,4485-9,,Complement C3 [Mass/volume] in Serum or Plasma,$this,129
3000963,8636,718-7,g/L,Hemoglobin [Mass/volume] in Blood,$this,20547
3001079,0,890-4,,Blood group antibody screen [Presence] in Serum or Plasma,$this,924
3001122,8748,2276-4,mcg/L,Ferritin [Mass/volume] in Serum or Plasma,$this,609
3001123,8583,28542-9,,Platelet mean volume [Entitic volume] in Blood,$this,19328
3001149,0,6006-1,,Protein C [Units/volume] in Platelet poor plasma by Chromogenic method,$this,1
3001405,8554,14135-8,,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood,$this,20
3001405,9444,14135-8,,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood,$this,20
3001490,9444,30392-5,,Nucleated erythrocytes [#/volume] in Blood,$this,19767
3001604,9444,26484-6,,Monocytes [#/volume] in Blood,$this,20461
3001788,0,14586-2,,Aldosterone [Moles/volume] in Serum or Plasma,$this,15
3001802,44777612,32294-1,mg/mmol,Microalbumin/Creatinine [Mass Ratio] in Urine,$this,77
3002079,8910,2956-1,,Sodium [Moles/time] in 24 hour Urine,$this,3
3002385,8554,30385-9,%,Erythrocyte distribution width [Ratio],$this,20513
3002529,0,883-9,,ABO group [Type] in Blood,$this,1040
3002532,8749,22753-8,,Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma,$this,984
3002617,8751,3298-7,,Acetaminophen [Mass/volume] in Serum or Plasma,$this,22
3002907,0,3231-8,,Coagulation factor XII activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,7
3003181,8753,2955-3,,Sodium [Moles/volume] in Urine,$this,281
3003310,0,10331-7,,Rh [Type] in Blood,$this,1040
3003338,8636,28540-3,,MCHC [Mass/volume],$this,20542
3003458,8753,14879-1,,Phosphate [Moles/volume] in Serum or Plasma,$this,13882
3003714,0,6462-6,,Bacteria identified in Wound by Culture,$this,412
3003785,8748,2039-6,,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,$this,11
