"observation_concept_id","source_unit","target_unit","conversion_function"
"3024561","8636","mcg/L","$this * 1000000"
"3020460","8751","mg/L","$this"
"3010156","8751","mg/L","$this"
"3019900","8753","mmol/L","$this"
"3023602","8753","mmol/L","$this"
"3038988","8753","mmol/L","$this"
"3020564","8749","mg/L","$this * 0.1151"
"3009508","8749","mg/L","$this * 0.1151"
"3011961","8748","mcg/L","$this"
"46236952","8795","ml/min/1.73m2","$this"
"3000963","8636","g/dL","$this * 0.1"
"3005673","8554","%","$this"
"3005673","9579","g/dL","$this * 1.6113"
"40762352","9579","g/dL","$this * 1.6113"
"3009814","8554","%","$this"
"3000034","8751","mcg/L","$this * 1000"
"3001802","44777612","mg/L","$this * 8.85"
"3029435","8725","pg/mL","$this"
"3029435","8729","pg/mL","$this"
"3005456","8753","mmol/L","$this"
"3000285","8753","mmol/L","$this"
"3025839","8753","mmol/L","$this"
"3048529","8725","ng/mL","$this * 1000"
"3020779","8753","mmol/L","$this"
