"source_code","source_system","target_code","target_system","target_display"
"43518254","https://www.ohdsi.org/omop","A10AD04","http://www.whocc.no/atc","insulin lispro; parenteral"
"43518254","https://www.ohdsi.org/omop","A10AC04","http://www.whocc.no/atc","insulin lispro; parenteral"
"43518254","https://www.ohdsi.org/omop","A10AB04","http://www.whocc.no/atc","insulin lispro; parenteral"
"36887817","https://www.ohdsi.org/omop","J01RA11","http://www.whocc.no/atc","ciprofloxacin and tinidazole; systemic"
"36887817","https://www.ohdsi.org/omop","J01MA02","http://www.whocc.no/atc","ciprofloxacin; systemic"
"36887817","https://www.ohdsi.org/omop","S01AE03","http://www.whocc.no/atc","ciprofloxacin; ophthalmic"
"36887817","https://www.ohdsi.org/omop","S02AA15","http://www.whocc.no/atc","ciprofloxacin; otic"
"36887817","https://www.ohdsi.org/omop","S03AA07","http://www.whocc.no/atc","ciprofloxacin; ophthalmic, otic"
"36887817","https://www.ohdsi.org/omop","J01RA12","http://www.whocc.no/atc","ciprofloxacin and ornidazole; systemic"
"36887817","https://www.ohdsi.org/omop","J01RA10","http://www.whocc.no/atc","ciprofloxacin and metronidazole; systemic"
"36887817","https://www.ohdsi.org/omop","S01AX13","http://www.whocc.no/atc","[U] ciprofloxacin"
"41349876","https://www.ohdsi.org/omop","A10BX07","http://www.whocc.no/atc","[U] liraglutide"
"41349876","https://www.ohdsi.org/omop","A10AE56","http://www.whocc.no/atc","insulin degludec and liraglutide; parenteral"
"41349876","https://www.ohdsi.org/omop","A10BJ02","http://www.whocc.no/atc","liraglutide; parenteral"
"43173224","https://www.ohdsi.org/omop","C09BX06","http://www.whocc.no/atc","perindopril, bisoprolol, amlodipine and indapamide; oral"
"43173224","https://www.ohdsi.org/omop","C09BX02","http://www.whocc.no/atc","perindopril and bisoprolol; systemic"
"43173224","https://www.ohdsi.org/omop","C07FX04","http://www.whocc.no/atc","bisoprolol and acetylsalicylic acid; systemic"
"43173224","https://www.ohdsi.org/omop","C07AB57","http://www.whocc.no/atc","[U] bisoprolol and acetylsalicylic acid"
"43173224","https://www.ohdsi.org/omop","C09BX04","http://www.whocc.no/atc","perindopril, bisoprolol and amlodipine; systemic"
"43173224","https://www.ohdsi.org/omop","C09BX05","http://www.whocc.no/atc","ramipril and bisoprolol; systemic"
"43173224","https://www.ohdsi.org/omop","C07FB07","http://www.whocc.no/atc","bisoprolol and amlodipine; systemic"
"43173224","https://www.ohdsi.org/omop","C07BB07","http://www.whocc.no/atc","bisoprolol and thiazides; systemic"
"43173224","https://www.ohdsi.org/omop","C07AB07","http://www.whocc.no/atc","bisoprolol; oral"
"1383862","https://www.ohdsi.org/omop","C01DA14","http://www.whocc.no/atc","isosorbide mononitrate; oral"
"711589","https://www.ohdsi.org/omop","N03AX14","http://www.whocc.no/atc","levetiracetam; systemic"
"19020053","https://www.ohdsi.org/omop","N02AJ22","http://www.whocc.no/atc","hydrocodone and paracetamol; oral"
"19020053","https://www.ohdsi.org/omop","N02BE51","http://www.whocc.no/atc","paracetamol, combinations excl. psycholeptics; systemic"
"19020053","https://www.ohdsi.org/omop","N02BE71","http://www.whocc.no/atc","paracetamol, combinations with psycholeptics; systemic"
"19020053","https://www.ohdsi.org/omop","N02AJ01","http://www.whocc.no/atc","dihydrocodeine and paracetamol; systemic"
"19020053","https://www.ohdsi.org/omop","N02AJ06","http://www.whocc.no/atc","codeine and paracetamol; systemic"
"19020053","https://www.ohdsi.org/omop","N02BE01","http://www.whocc.no/atc","paracetamol; systemic, rectal"
"19020053","https://www.ohdsi.org/omop","N02BE05","http://www.whocc.no/atc","propacetamol; parenteral"
"19020053","https://www.ohdsi.org/omop","N02AX52","http://www.whocc.no/atc","[U] tramadol and paracetamol"
"19020053","https://www.ohdsi.org/omop","N02AJ13","http://www.whocc.no/atc","tramadol and paracetamol; systemic"
