source_code,target_code,target_display
4194310,314231002,Chaperone present
4063238,17077006,Abnormal respiratory rate
196620,78420004,Viral enteritis of intestine
4194329,67750007,Ineffective airway clearance
4194332,67776007,Monocyte count
4030501,23794001,Paratracheal lymphadenopathy
196653,363518003,Malignant tumor of kidney
4325422,71392009,Cellulitis of wrist
4325423,71393004,Soreness
4128817,289141003,Eats regularly
4227121,8757006,Hecht syndrome
4030518,236423003,Renal impairment
4030520,236435004,End stage renal failure on dialysis
4128829,289194007,Unintelligible articulation
4030526,236464008,Hyporeninemic hypoaldosteronism
4161601,373941003,Left ventricular mass
4128844,289260002,Epigastric hernia
4161619,291954007,Amiodarone poisoning
4096097,25107009,Verbal repetition
4030563,14209008,Para 1
4096101,250554003,Measurement of oxygen saturation at periphery
4030571,14241002,Cockroach
4194415,395135003,APTT 50:50 mix
4194416,395136002,Total mesorectal excision
4128888,126713003,Neoplasm of lung
4292728,37766004,Water diuresis
196734,30281009,Disorder of prostate
4259967,441279004,Able to lip read
4259972,441313008,Indolent multiple myeloma
4227207,420780004,Ginger product
4128914,1261007,Fracture of multiple ribs
4063379,170968001,Prognosis good
4063380,170969009,Prognosis bad
4325525,430396006,Chronic systolic dysfunction of left ventricle
4161682,397974008,Hypoesthesia
4161687,398032003,Loose stool
4096147,26329005,Poor concentration
4227224,420829009,1+ pitting edema
4227219,420814007,Order Araneae
4161691,398041008,Cervical spine immobilization
4030614,129557000,Protein-tyrosine kinase inhibitor-containing product
4194452,314380009,Nurse chaperone
4063381,17097001,Chronic disease of respiratory system
4161701,373945007,Pericardial effusion
4227247,406104003,Hepatitis C virus detected by enzyme-linked immunosorbent assay
4096176,26244009,Muscarinic receptor antagonist-containing product
4227250,406114007,Treponema pallidum antibody not detected by hemagglutination test
4227252,406119002,Toe finding
4096185,190502001,Pituitary dependent hypercortisolism
4063431,200965009,Plaque psoriasis
4030664,236500003,Proteinuric nephropathy due to diabetes mellitus
4227276,8764008,Chronic respiratory acidosis
196813,77945009,Simple renal cyst
196821,9957009,Urethral discharge
