"observation_concept_id","source_unit","target_unit","conversion_function"
"40762499","8554","%","$this"
"3036277","8582","cm","$this"
"3025315","8504","kg","$this / 1000"
"4154790","8876","mmHg","$this"
"4152194","8876","mmHg","$this"
"4239408","0","bpm","$this"
"37174455","","",""
"37174447","","",""
"3038553","9531","kg/m2","$this"
"1576151","","",""
"4245997","","",""
"3005424","","",""
"4201235","","",""
"3004249","8876","mmHg","$this"
"3012888","8876","mmHg","$this"
"3027018","8541","/min","$this"
"3016502","8554","%","$this"
"4020553","","",""
"3044889","","",""
"3020891","586323","Cel","$this"
"4302666","","",""
"3024171","8541","/min","$this"
"4313591","","",""
"3016258","","",""
"4172830","","",""
"3034263","","",""
"3020716","","",""
"3032652","","",""
"4296538","","",""
"21490675","","",""
"4323687","","",""
"21492240","","",""
"3027598","","",""
"4239021","","",""
"21492241","","",""
"21492239","","",""
"36304833","","",""
"21490851","","",""
"4354253","","",""
"21490853","","",""
"4353843","","",""
"21490672","","",""
"21490674","","",""
"3025315","9529","kg","$this"
