source_code,source_unit,target_code,target_display,target_unit,conversion_function
"14682-9","µmol/L","2160-0","Creatinine [Mass/volume] in Serum or Plasma","mg/L","$this * 0.1131"
"22748-8","mmol/L","22748-8","Cholesterol in LDL [Moles/volume] in Serum or Plasma","mmol/L","$this"
"61152-5","g/L","1751-7","Albumin [Mass/volume] in Serum or Plasma","g/L","$this"
"6598-7","µg/L","6598-7","Troponin T.cardiac [Mass/volume] in Serum or Plasma","ng/L","$this * 1000"
"22664-7","mmol/L","14937-7","Urea nitrogen [Moles/volume] in Serum or Plasma","mmol/L","$this * 0.47"
"62238-1","mL/min/1.73m2","69405-9","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by based on 1.73 sq M","mL/min/1.73m2","$this"
"30934-4","pmol/L","30934-4","Natriuretic peptide B [Mass/volume] in Serum or Plasma","pg/mL","$this * 3.46"
"47092-2","pmol/L","30934-4","Natriuretic peptide B [Mass/volume] in Serum or Plasma","pg/mL","$this * 8.457"
"6298-4","mmol/L","2823-3","Potassium [Moles/volume] in Serum or Plasma","mmol/L","$this"
"83107-3","pg/mL","33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma","pg/mL","$this"
"14646-4","mmol/L","14646-4","Cholesterol in HDL [Moles/volume] in Serum or Plasma","mmol/L","$this"
"20567-4","µg/L","2276-4","Ferritin [Mass/volume] in Serum or Plasma","ng/mL","$this"
"59260-0","mmol/L","718-7","Hemoglobin","g/L","$this * 16.114"
"100158-5","mg/L","1754-1","Albumin [Mass/volume] in Urine","mg/L","$this"
"14927-8","mmol/L","14927-8","Triglyceride [Moles/volume] in Serum or Plasma","mmol/L","$this"
"30522-7","mg/L","30522-7","C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method","mg/L","$this"
"41995-2","mmol/mol","41995-2","Hemoglobin A1c [Mass/volume] in Blood","mmol/mol","$this"
"14647-2","mmol/L","14647-2","Cholesterol [Moles/volume] in Serum or Plasma","mmol/L","$this"
"14683-7","mmol/L","2161-8","Creatinine [Mass/volume] in Urine","mg/L","$this * 113.12"
"32294-1","mg/mmol kr","32294-1","Albumin/Creatinine [Ratio] in Urine","mg/mmol","$this"
"2951-2","mmol/L","2951-2","Sodium [Moles/volume] in Serum or Plasma","mmol/L","$this"
"89579-7","ng/L","89579-7","Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method","ng/mL","$this * 0.001"
"1743-4","U/L","1743-4","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","U/L","$this"
"2324-2","U/L","2324-2","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma","U/L","$this"
"2823-3","mmol/L","2823-3","Potassium [Moles/volume] in Serum or Plasma","mmol/L","$this"
"30385-9","% CV","30385-9","Erythrocyte [DistWidth] in Blood","% CV","$this"
"1975-2","µmol/L","1975-2","Bilirubin.total [Mass/volume] in Serum or Plasma","mg/dL","$this * 0.06"
"2524-7","mmol/L","2524-7","Lactate [Moles/volume] in Serum or Plasma","mmol/L","$this"
"14801-5","fractie","2502-3","Iron saturation [Mass Fraction] in Serum or Plasma","%","$this * 100"
"1920-8","U/L","1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma","U/L","$this"
"4548-4","mmol/mol","4548-4","Hemoglobin A1c","%","$this"
