source_code,source_unit,target_unit,conversion_function
"14682-9","µmol/L","mg/L","$this * 0.1131"
"22748-8","mmol/L","mmol/L","$this"
"61152-5","g/L","g/L","$this"
"6598-7","µg/L","ng/L","$this * 1000"
"22664-7","mmol/L","mmol/L","$this * 0.47"
"62238-1","ml/min/1.73m²","ml/min/1.73m²","$this"
"30934-4","pmol/L","pg/mL","$this * 3.46"
"6298-4","mmol/L","mmol/L","$this"
"83107-3","pg/mL","pg/mL","$this"
"14646-4","mmol/L","mmol/L","$this"
20567-4,ng/mL,ng/mL,$this
59260-0,mmol/L,g/L,$this * 16.114
100158-5,mg/L,mg/L,$this
14927-8,mmol/L,mmol/L,$this
30522-7,mg/L,mg/L,$this
41995-2,mmol/mol,mmol/mol,$this
14647-2,mmol/L,mmol/L,$this
14683-7,mmol/L,mg/L,$this * 113.12
32294-1,mg/mmol,mg/mmol,$this
2951-2,mmol/L,mmol/L,$this
89579-7,ng/L,ng/mL,$this * 0.001
