"source_code","target_code","target_unit","target_display"
"29463-7","29463-7","kg","Body weight"
"59408-5","2708-6","%","Oxygen saturation in Arterial blood"
"76534-7","8480-6","mm[Hg]","Systolic blood pressure"
"76535-4","8462-4","mm[Hg]","Diastolic blood pressure"
"76536-2","8478-0","mm[Hg]","Mean blood pressure"
"8302-2","8302-2","cm","Body height"
"89270-3","39156-5","kg/m2","Body mass index (BMI) [Ratio]"
"9279-1","9279-1","{breaths}/min;{counts}/min","Respiratory rate"
"8277-6","8277-6","m2","Body surface area"
"8867-4","8867-4","bpm","Heart rate"
