source_code,source_unit,target_code,target_unit,target_display,conversion_function
3004907,44777582,21526-9,10*-3.eq/(24.h),Sodium [Mass/volume] in 24 hour Urine,$this
3008152,8753,1960-4,mmol/L,Bicarbonate [Moles/volume] in Arterial blood,$this
3008598,8817,3024-7,ng/dL,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,$this
3009609,8753,2026-3,mmol/L,"Carbon dioxide, total [Moles/volume] in Arterial blood",$this
3010140,8753,2027-1,mmol/L,"Carbon dioxide, total [Moles/volume] in Venous blood",$this
3011004,8840,14422-0,mg/dL,Bilirubin.total [Mass/volume] in Peritoneal fluid,$this
3014218,8753,19230-2,mmol/L,Bicarbonate [Moles/volume] standard in Arterial blood,$this
3015322,8554,2865-4,%,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,$this
3015586,8554,30451-9,%,Segmented neutrophils [#/volume] in Blood,$this
3017732,,26499-4,10*3/uL,Neutrophils [#/volume] in Blood,$this
3019977,,2744-1,pH,pH of Arterial blood,$this
3021447,8876,2021-4,mmHg,Carbon dioxide [Partial pressure] in Venous blood,$this
3023386,8840,14447-7,mg/dL,Triglyceride [Mass/volume] in Peritoneal fluid,$this
3024354,8876,2705-2,mmHg,Oxygen [Partial pressure] in Venous blood,$this
3029577,8554,51105-5,%,CD19 blasts [Units/volume] in Specimen,$this
3031266,8840,41651-1,mg/dL,Glucose [Mass/volume] in Arterial blood,$this
3032080,,34714-6,{INR},INR in Blood by Coagulation assay,$this
3034207,8840,9619-8,mg/dL,Triglyceride [Mass/volume] in Pleural fluid,$this
3035285,8753,41649-5,mmol/L,Chloride [Moles/volume] in Venous blood,$this
3035561,8753,30242-2,mmol/L,Lactate [Mass/volume] in Arterial blood,$this
3041473,8753,39791-9,mmol/L,Sodium [Moles/volume] in Venous blood,$this
3043706,8753,32717-1,mmol/L,Sodium [Moles/volume] in Arterial blood,$this
3043723,8554,32730-4,%,Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,$this
3043723,8713,32730-4,g/dL,Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,$this
3047005,0,43223-7,mmol/g,Sodium/Creatinine [Ratio] in Urine,$this
4012479,8840,22748-8,mmol/L,Cholesterol in LDL [Moles/volume] in Serum or Plasma,$this * 0.0259
4041556,8840,22748-8,mmol/L,Cholesterol in LDL [Moles/volume] in Serum or Plasma,$this * 0.0259
4042059,8840,14646-4,mmol/L,Cholesterol in HDL [Moles/volume] in Serum or Plasma,$this * 0.0259
4097430,,2951-2,mmol/L,Sodium [Moles/volume] in Serum or Plasma,$this
4307029,8845,30934-4,pg/mL,Natriuretic peptide B [Mass/volume] in Serum or Plasma,$this
21490721,,75928-2,mmol/L,Hemoglobin [Moles/volume] in Arterial blood,$this
37067831,8554,LP384750-8,%,Gamma globulin | Serum or Plasma | Chemistry - non-challenge,$this
40762532,8840,59470-5,mg/dL,Calcium.ionized [Mass/volume] in Arterial blood,$this
43055372,8554,71679-5,%,Eosinophils/Leukocytes [Pure number fraction] in Blood by Automated count,$this
43055428,8713,72594-5,g/dL,Alpha 1 globulin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,$this
