source_code,source_unit,target_unit,conversion_function
3004907,44777582,10*-3.eq/(24.h),$this
3008152,8753,mmol/L,$this
3008598,8817,ng/dL,$this
3009609,8753,mmol/L,$this
3010140,8753,mmol/L,$this
3011004,8840,mg/dL,$this
3014218,8753,mmol/L,$this
3015322,8554,%,$this
3015586,8554,%,$this
3017732,,10*3/uL,$this
3019977,,pH,$this
3021447,8876,mmHg,$this
3023386,8840,mg/dL,$this
3024354,8876,mmHg,$this
3029577,8554,%,$this
3031266,8840,mg/dL,$this
3032080,,{INR},$this
3034207,8840,mg/dL,$this
3035285,8753,mmol/L,$this
3035561,8753,mmol/L,$this
3041473,8753,mmol/L,$this
3043706,8753,mmol/L,$this
3043723,8554,%,$this
3043723,8713,g/dL,$this
3047005,0,mmol/g,$this
4012479,8840,mmol/L,$this * 0.0259
4041556,8840,mmol/L,$this * 0.0259
4042059,8840,mmol/L,$this * 0.0259
4097430,,mmol/L,$this
4307029,8845,pg/mL,$this
21490721,,mmol/L,$this
37067831,8554,%,$this
40762532,8840,mg/dL,$this
43055372,8554,%,$this
43055428,8713,g/dL,$this
1175183,8840,mg/dL,$this
3000963,,g/L,$this
3003396,8753,mmol/L,$this
3005491,8753,mmol/L,$this
3006407,8842,ng/mL,$this
3007034,8909,mg/(24.h),$this
3007628,8753,mmol/L,$this
3010813,,10*3/uL,$this
3011505,,%,$this
3011544,8713,g/dL,$this
3012544,,pH,$this
3023520,9444,10*9/L,$this
3027801,8876,mmHg,$this
3027946,8876,mmHg,$this
3028167,,/uL,$this
3028954,8645,U/L,$this
3031248,8753,mmol/L,$this
3033408,8840,mg/dL,$this
3038383,8842,ng/mL,$this
3040170,44777582,10*-3.eq/(24.h),$this
3041354,8753,mmol/L,$this
3041706,8840,mg/dL,$this
3043409,8753,mmol/L,$this
3043518,0,mmol/g,$this
4101713,,mmol/L,$this
4150621,8840,mg/L,$this * 10
4172830,,cm,$this
21490592,8753,mmol/L,$this
37397915,8842,mcg/L,$this
40763574,8554,%,$this
42868740,8840,mg/dL,$this
43055369,8554,%,$this
43055373,8554,%,$this
