"source_code","source_system","target_code","target_system","target_display"
"956874","https://www.ohdsi.org/omop","C03CA01","http://www.whocc.no/atc","furosemide; systemic"
"956874","https://www.ohdsi.org/omop","C03EB01","http://www.whocc.no/atc","furosemide and potassium-sparing agents; systemic"
"956874","https://www.ohdsi.org/omop","C03CB01","http://www.whocc.no/atc","furosemide and potassium; oral"
"1125315","https://www.ohdsi.org/omop","N02AJ22","http://www.whocc.no/atc","hydrocodone and paracetamol; oral"
"1125315","https://www.ohdsi.org/omop","N02BE51","http://www.whocc.no/atc","paracetamol, combinations excl. psycholeptics; systemic"
"1125315","https://www.ohdsi.org/omop","N02BE71","http://www.whocc.no/atc","paracetamol, combinations with psycholeptics; systemic"
"1125315","https://www.ohdsi.org/omop","N02AJ01","http://www.whocc.no/atc","dihydrocodeine and paracetamol; systemic"
"1125315","https://www.ohdsi.org/omop","N02AJ06","http://www.whocc.no/atc","codeine and paracetamol; systemic"
"1125315","https://www.ohdsi.org/omop","N02BE01","http://www.whocc.no/atc","paracetamol; systemic, rectal"
"1125315","https://www.ohdsi.org/omop","N02BE05","http://www.whocc.no/atc","propacetamol; parenteral"
"1125315","https://www.ohdsi.org/omop","N02AX52","http://www.whocc.no/atc","[U] tramadol and paracetamol"
"1125315","https://www.ohdsi.org/omop","N02AJ13","http://www.whocc.no/atc","tramadol and paracetamol; systemic"
"1125315","https://www.ohdsi.org/omop","N02AJ17","http://www.whocc.no/atc","oxycodone and paracetamol; systemic"
"1301025","https://www.ohdsi.org/omop","B01AB05","http://www.whocc.no/atc","enoxaparin; parenteral"
"923645","https://www.ohdsi.org/omop","A02BC01","http://www.whocc.no/atc","omeprazole; systemic"
"923645","https://www.ohdsi.org/omop","A02BD16","http://www.whocc.no/atc","omeprazole, amoxicillin and rifabutin; oral"
"923645","https://www.ohdsi.org/omop","A02BD01","http://www.whocc.no/atc","omeprazole, amoxicillin and metronidazole; systemic"
"923645","https://www.ohdsi.org/omop","A02BC51","http://www.whocc.no/atc","omeprazole, combinations; oral"
"923645","https://www.ohdsi.org/omop","A02BD05","http://www.whocc.no/atc","omeprazole, amoxicillin and clarithromycin; systemic"
"1112921","https://www.ohdsi.org/omop","R03AL01","http://www.whocc.no/atc","fenoterol and ipratropium bromide; inhalant"
"1112921","https://www.ohdsi.org/omop","R03AL02","http://www.whocc.no/atc","salbutamol and ipratropium bromide; inhalant"
"1112921","https://www.ohdsi.org/omop","C01CX10","http://www.whocc.no/atc","omecamtiv mecarbil; parenteral"
"1112921","https://www.ohdsi.org/omop","R01AX03","http://www.whocc.no/atc","ipratropium bromide; nasal"
"1112921","https://www.ohdsi.org/omop","R03BB01","http://www.whocc.no/atc","ipratropium bromide; inhalant"
"1112921","https://www.ohdsi.org/omop","R03AK03","http://www.whocc.no/atc","[U] fenoterol and ipratropium bromide"
"19031397","https://www.ohdsi.org/omop","N02BB02","http://www.whocc.no/atc","metamizole sodium; systemic, rectal"
"19031397","https://www.ohdsi.org/omop","N02BB52","http://www.whocc.no/atc","metamizole sodium, combinations excl. psycholeptics; systemic"
"19031397","https://www.ohdsi.org/omop","N02BB72","http://www.whocc.no/atc","metamizole sodium, combinations with psycholeptics; systemic"
"1338005","https://www.ohdsi.org/omop","C09BX06","http://www.whocc.no/atc","perindopril, bisoprolol, amlodipine and indapamide; oral"
"1338005","https://www.ohdsi.org/omop","C09BX02","http://www.whocc.no/atc","perindopril and bisoprolol; systemic"
"1338005","https://www.ohdsi.org/omop","C07FX04","http://www.whocc.no/atc","bisoprolol and acetylsalicylic acid; systemic"
"1338005","https://www.ohdsi.org/omop","C07AB57","http://www.whocc.no/atc","[U] bisoprolol and acetylsalicylic acid"
"1338005","https://www.ohdsi.org/omop","C09BX04","http://www.whocc.no/atc","perindopril, bisoprolol and amlodipine; systemic"
"1338005","https://www.ohdsi.org/omop","C09BX05","http://www.whocc.no/atc","ramipril and bisoprolol; systemic"
"1338005","https://www.ohdsi.org/omop","C07FB07","http://www.whocc.no/atc","bisoprolol and amlodipine; systemic"
"1338005","https://www.ohdsi.org/omop","C07BB07","http://www.whocc.no/atc","bisoprolol and thiazides; systemic"
"1338005","https://www.ohdsi.org/omop","C07AB07","http://www.whocc.no/atc","bisoprolol; oral"
"1506270","https://www.ohdsi.org/omop","D07AA01","http://www.whocc.no/atc","methylprednisolone; topical"
"1506270","https://www.ohdsi.org/omop","D07AC14","http://www.whocc.no/atc","methylprednisolone aceponate; topical"
"1506270","https://www.ohdsi.org/omop","D10AA02","http://www.whocc.no/atc","methylprednisolone; topical"
"1506270","https://www.ohdsi.org/omop","H02AB04","http://www.whocc.no/atc","methylprednisolone; systemic"
"1506270","https://www.ohdsi.org/omop","H02BX01","http://www.whocc.no/atc","methylprednisolone, combinations; systemic"
"1506270","https://www.ohdsi.org/omop","S03CA07","http://www.whocc.no/atc","methylprednisolone and antiinfectives; ophthalmic, otic"
"1506270","https://www.ohdsi.org/omop","S01CA08","http://www.whocc.no/atc","methylprednisolone and antiinfectives; ophthalmic"
"1506270","https://www.ohdsi.org/omop","D07CA02","http://www.whocc.no/atc","methylprednisolone and antibiotics; topical"
"1713332","https://www.ohdsi.org/omop","A02BD06","http://www.whocc.no/atc","esomeprazole, amoxicillin and clarithromycin; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD07","http://www.whocc.no/atc","lansoprazole, amoxicillin and clarithromycin; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD16","http://www.whocc.no/atc","omeprazole, amoxicillin and rifabutin; oral"
"1713332","https://www.ohdsi.org/omop","J01CR02","http://www.whocc.no/atc","amoxicillin and beta-lactamase inhibitor; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD17","http://www.whocc.no/atc","vonoprazan and amoxicillin; oral"
"1713332","https://www.ohdsi.org/omop","A02BD01","http://www.whocc.no/atc","omeprazole, amoxicillin and metronidazole; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD11","http://www.whocc.no/atc","pantoprazole, amoxicillin, clarithromycin and metronidazole; oral"
"1713332","https://www.ohdsi.org/omop","A02BD15","http://www.whocc.no/atc","vonoprazan, amoxicillin and metronidazole; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD05","http://www.whocc.no/atc","omeprazole, amoxicillin and clarithromycin; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD12","http://www.whocc.no/atc","rabeprazole, amoxicillin and clarithromycin; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD14","http://www.whocc.no/atc","vonoprazan, amoxicillin and clarithromycin; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD13","http://www.whocc.no/atc","rabeprazole, amoxicillin and metronidazole; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD03","http://www.whocc.no/atc","lansoprazole, amoxicillin and metronidazole; systemic"
"1713332","https://www.ohdsi.org/omop","A02BD10","http://www.whocc.no/atc","lansoprazole, amoxicillin and levofloxacin; systemic"
"1713332","https://www.ohdsi.org/omop","J01CA04","http://www.whocc.no/atc","amoxicillin; systemic"
