source_system,source_code,target_system,target_code
"http://terminology.hl7.org/CodeSystem/icd9cm","10","http://hl7.org/fhir/sid/icd-10","A00.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","11","http://hl7.org/fhir/sid/icd-10","A00.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","19","http://hl7.org/fhir/sid/icd-10","A00.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","20","http://hl7.org/fhir/sid/icd-10","A01.00"
"http://terminology.hl7.org/CodeSystem/icd9cm","21","http://hl7.org/fhir/sid/icd-10","A01.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","22","http://hl7.org/fhir/sid/icd-10","A01.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","23","http://hl7.org/fhir/sid/icd-10","A01.3"
"http://terminology.hl7.org/CodeSystem/icd9cm","29","http://hl7.org/fhir/sid/icd-10","A01.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","30","http://hl7.org/fhir/sid/icd-10","A02.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","31","http://hl7.org/fhir/sid/icd-10","A02.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","320","http://hl7.org/fhir/sid/icd-10","A02.20"
"http://terminology.hl7.org/CodeSystem/icd9cm","321","http://hl7.org/fhir/sid/icd-10","A02.21"
"http://terminology.hl7.org/CodeSystem/icd9cm","322","http://hl7.org/fhir/sid/icd-10","A02.22"
"http://terminology.hl7.org/CodeSystem/icd9cm","323","http://hl7.org/fhir/sid/icd-10","A02.23"
"http://terminology.hl7.org/CodeSystem/icd9cm","324","http://hl7.org/fhir/sid/icd-10","A02.24"
"http://terminology.hl7.org/CodeSystem/icd9cm","329","http://hl7.org/fhir/sid/icd-10","A02.29"
"http://terminology.hl7.org/CodeSystem/icd9cm","38","http://hl7.org/fhir/sid/icd-10","A02.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","39","http://hl7.org/fhir/sid/icd-10","A02.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","40","http://hl7.org/fhir/sid/icd-10","A03.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","41","http://hl7.org/fhir/sid/icd-10","A03.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","42","http://hl7.org/fhir/sid/icd-10","A03.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","43","http://hl7.org/fhir/sid/icd-10","A03.3"
"http://terminology.hl7.org/CodeSystem/icd9cm","48","http://hl7.org/fhir/sid/icd-10","A03.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","49","http://hl7.org/fhir/sid/icd-10","A03.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","50","http://hl7.org/fhir/sid/icd-10","A05.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","51","http://hl7.org/fhir/sid/icd-10","A05.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","52","http://hl7.org/fhir/sid/icd-10","A05.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","53","http://hl7.org/fhir/sid/icd-10","A05.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","54","http://hl7.org/fhir/sid/icd-10","A05.3"
"http://terminology.hl7.org/CodeSystem/icd9cm","581","http://hl7.org/fhir/sid/icd-10","A05.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","589","http://hl7.org/fhir/sid/icd-10","A05.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","589","http://hl7.org/fhir/sid/icd-10","A05.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","59","http://hl7.org/fhir/sid/icd-10","A05.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","60","http://hl7.org/fhir/sid/icd-10","A06.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","61","http://hl7.org/fhir/sid/icd-10","A06.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","62","http://hl7.org/fhir/sid/icd-10","A06.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","63","http://hl7.org/fhir/sid/icd-10","A06.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","64","http://hl7.org/fhir/sid/icd-10","A06.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","65","http://hl7.org/fhir/sid/icd-10","A06.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","66","http://hl7.org/fhir/sid/icd-10","A06.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","68","http://hl7.org/fhir/sid/icd-10","A06.89"
"http://terminology.hl7.org/CodeSystem/icd9cm","69","http://hl7.org/fhir/sid/icd-10","A06.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","70","http://hl7.org/fhir/sid/icd-10","A07.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","71","http://hl7.org/fhir/sid/icd-10","A07.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","72","http://hl7.org/fhir/sid/icd-10","A07.3"
"http://terminology.hl7.org/CodeSystem/icd9cm","73","http://hl7.org/fhir/sid/icd-10","A07.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","74","http://hl7.org/fhir/sid/icd-10","A07.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","75","http://hl7.org/fhir/sid/icd-10","A07.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","78","http://hl7.org/fhir/sid/icd-10","A07.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","79","http://hl7.org/fhir/sid/icd-10","A07.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","800","http://hl7.org/fhir/sid/icd-10","A04.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","801","http://hl7.org/fhir/sid/icd-10","A04.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","802","http://hl7.org/fhir/sid/icd-10","A04.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","803","http://hl7.org/fhir/sid/icd-10","A04.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","804","http://hl7.org/fhir/sid/icd-10","A04.3"
"http://terminology.hl7.org/CodeSystem/icd9cm","809","http://hl7.org/fhir/sid/icd-10","A04.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","81","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","82","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","83","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","841","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","842","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","843","http://hl7.org/fhir/sid/icd-10","A04.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","844","http://hl7.org/fhir/sid/icd-10","A04.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","845","http://hl7.org/fhir/sid/icd-10","A04.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","846","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","847","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","849","http://hl7.org/fhir/sid/icd-10","A04.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","85","http://hl7.org/fhir/sid/icd-10","A04.9"
"http://terminology.hl7.org/CodeSystem/icd9cm","861","http://hl7.org/fhir/sid/icd-10","A08.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","862","http://hl7.org/fhir/sid/icd-10","A08.2"
"http://terminology.hl7.org/CodeSystem/icd9cm","863","http://hl7.org/fhir/sid/icd-10","A08.11"
"http://terminology.hl7.org/CodeSystem/icd9cm","864","http://hl7.org/fhir/sid/icd-10","A08.19"
"http://terminology.hl7.org/CodeSystem/icd9cm","865","http://hl7.org/fhir/sid/icd-10","A08.31"
"http://terminology.hl7.org/CodeSystem/icd9cm","866","http://hl7.org/fhir/sid/icd-10","A08.32"
"http://terminology.hl7.org/CodeSystem/icd9cm","867","http://hl7.org/fhir/sid/icd-10","A08.39"
"http://terminology.hl7.org/CodeSystem/icd9cm","869","http://hl7.org/fhir/sid/icd-10","A08.39"
"http://terminology.hl7.org/CodeSystem/icd9cm","88","http://hl7.org/fhir/sid/icd-10","A08.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","90","http://hl7.org/fhir/sid/icd-10","A09"
"http://terminology.hl7.org/CodeSystem/icd9cm","91","http://hl7.org/fhir/sid/icd-10","A09"
"http://terminology.hl7.org/CodeSystem/icd9cm","92","http://hl7.org/fhir/sid/icd-10","A09"
"http://terminology.hl7.org/CodeSystem/icd9cm","93","http://hl7.org/fhir/sid/icd-10","A09"
"http://terminology.hl7.org/CodeSystem/icd9cm","1000","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1001","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1002","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1003","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1004","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1005","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1006","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1010","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1011","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1012","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1013","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1014","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1015","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1016","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1080","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1081","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1082","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1083","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1084","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1085","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1086","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1090","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1091","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1092","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1093","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1094","http://hl7.org/fhir/sid/icd-10","A15.7"
